29,"Ct5_1-8_AprimiSorellaMiaSposa.docx","Aprimi, sorella mia sposa",1996,"Suore","ESERCIZI ESPIRITUALI SUORE\\Esercizi_1996_ Cantico dei Cantici","http://NA","Ct","5,1-8","Cantico dei Cantici"
30,"Ct8_3-7_ForteComeLaMorteE_L_Amore.docx","Forte come la morte è l'amore",1996,"Suore","ESERCIZI ESPIRITUALI SUORE\\Esercizi_1996_ Cantico dei Cantici","http://NA","Ct","8,3-7","Cantico dei Cantici"
31,"Ef2_1-10__Lc12_13-21_29maSettimanaCicloA_Lunedì.docx","Lunedì",2001,"Tutti","altre_lectio\\29°SettimanaTempoOrdinario","http://NA","Lc","12,13-21","29° Settimana ciclo A"
32,"Ef2_1-10__Lc12_13-21_29maSettimanaCicloA_Lunedì.docx","Lunedì",2001,"Tutti","altre_lectio\\29°SettimanaTempoOrdinario","http://NA","Ef","2,1-10","29° Settimana ciclo A"
33,"Ef4_20-32__5,8-10_BenevolenzaBonta.docx","Benevolenza e bontà",2003,"Laici","Frutto_dello _SPirito_laici","http://NA","Ef","4,20-32","Frutti dello Spirito Santo"
34,"Ef4_20-32__5,8-10_BenevolenzaBonta.docx","Benevolenza e bontà",2003,"Laici","Frutto_dello _SPirito_laici","http://NA","Ef","5,8-10","Frutti dello Spirito Santo"
35,"Es14_10-31_MoseIlDioFedeleApreCamminiDiLiberazione.docx","Mosè - Il Dio fedele apre cammini di liberazione",2000,"Suore","ESERCIZI ESPIRITUALI SUORE\\Il_Dio_Fedele_2006","http://NA","Es","14,10-31","Il Dio fedele"
36,"Es40_16-21__40_34-38_DimoraDiDioConPopoloItineranteDeserto.docx","La dimora di Dio con un popolo itinerante nel deserto","N/A","Tutti","Dimorare","http://NA","Es","40,16-21","Dimorare"
37,"Es40_16-21__40_34-38_DimoraDiDioConPopoloItineranteDeserto.docx","La dimora di Dio con un popolo itinerante nel deserto","N/A","Tutti","Dimorare","http://NA","Es","40,34-38","Dimorare"
38,"Fil4_4-9_Pace.docx","Pace",2003,"Laici","Frutto_dello _SPirito_laici","http://NA","Fil","4,4-9","Frutti dello Spirito Santo"
39,"Ga5_1__5_13-26__6_1-2_SpiritoE_Liberta.docx","Lo Spirito e la libertà",1994,"Suore","ESERCIZI ESPIRITUALI SUORE\\Esercizi_Lo_Spirito _anto_nella_nostra_vita","http://NA","Gal","5,1","Lo Spirito Santo nella nostra vita"
40,"Ga5_1__5_13-26__6_1-2_SpiritoE_Liberta.docx","Lo Spirito e la libertà",1994,"Suore","ESERCIZI ESPIRITUALI SUORE\\Esercizi_Lo_Spirito _anto_nella_nostra_vita","http://NA","Gal","5,13-26","Lo Spirito Santo nella nostra vita"
41,"Ga5_1__5_13-26__6_1-2_SpiritoE_Liberta.docx","Lo Spirito e la libertà",1994,"Suore","ESERCIZI ESPIRITUALI SUORE\\Esercizi_Lo_Spirito _anto_nella_nostra_vita","http://NA","Gal","6,1-2","Lo Spirito Santo nella nostra vita"
42,"Gal5_13-26_CarneE_Spirito.docx","Carne e Spirito",1997,"Suore","ESERCIZI ESPIRITUALI SUORE\\LO_SPIRITO_SANTO","http://NA","Gal","5,13-26","Lo Spirito Santo"
43,"Gc1_16-27__3_13-18_Mitezza.docx","Mitezza",2003,"Laici","Frutto_dello _SPirito_laici","http://NA","Gc","1,16-27","Frutti dello Spirito Santo"
44,"Gc1_16-27__3_13-18_Mitezza.docx","Mitezza",2003,"Laici","Frutto_dello _SPirito_laici","http://NA","Gc","3,13-18","Frutti dello Spirito Santo"
45,"Gen1_26-28__1_31_InPrincipioLaBenedizione.docx","In principio la Benedizione",2004,"Suore","ESERCIZI ESPIRITUALI SUORE\\BENEDIZIONE_2004","http://NA","Gn","1,31","Benedizione"
46,"Gen1_26-28__1_31_InPrincipioLaBenedizione.docx","In principio la Benedizione",2004,"Suore","ESERCIZI ESPIRITUALI SUORE\\BENEDIZIONE_2004","http://NA","Gn","1,26-28","Benedizione"
47,"Gen14_17-23_LaBenedizioneDiMelchisedek.docx","La benedizione di Melchisedek",2004,"Suore","ESERCIZI ESPIRITUALI SUORE\\BENEDIZIONE_2004","http://NA","Gn","14,17-23","Benedizione"
48,"Gen18_1-15_AbramoIlDioFedeleE_UnDioCheFaAlleanzaMiVisitaPromettendoIlCristoMiaSalvezza.docx","Abramo - Il Dio fedele che è un Dio che fa allenza, mi visita, promettendo il Cristo che mia salvezza",2000,"Suore","ESERCIZI ESPIRITUALI SUORE\\Il_Dio_Fedele_2004","http://NA","Gn","18,1-15","Il Dio fedele"
49,"Gen18_22-33_LaPreghieraD_Intercessione.docx","La preghiera d'intercessione",2002,"Suore","ESERCIZI ESPIRITUALI SUORE\\Pregare_per_vivere_2002","http://NA","Gn","18,22-33","Pregare per vivere"
50,"Gen32_25-33_GiacobbeIlDioFedeleProvocaUnaLottaCheSiRisolveInBenedizione.docx","Giacobbe - Il Dio fedele provoca a una lotta che si risolve in benedizione",2000,"Suore","ESERCIZI ESPIRITUALI SUORE\\Il_Dio_Fedele_2005","http://NA","Gn","32,25-33","Il Dio fedele"
51,"Gen45_1-15_GiuseppeIlDioFedeleFaPercepireCheTuttoRientraInUnPianoDiSalvezza.docx","Giuseppe - Il Dio  fedele fa percepire che tutto rientra in un piano di SALVEZZA",2000,"Suore","ESERCIZI ESPIRITUALI SUORE\\Il_Dio_Fedele_2006","http://NA","Gn","45,1-15","Il Dio fedele"
52,"Gen8_1-22__9_1__9_5-7_NoeIlDioFedeleRiconciliaA_SeUomoE_TuttoIlCreato.docx","Noe: il Dio fedele riconcilia a Sé l'uomo e tutto il creato",2000,"Suore","ESERCIZI ESPIRITUALI SUORE\\Il_Dio_Fedele_2001","http://NA","Gn","9,1","Il Dio fedele"
53,"Gen8_1-22__9_1__9_5-7_NoeIlDioFedeleRiconciliaA_SeUomoE_TuttoIlCreato.docx","Noe: il Dio fedele riconcilia a Sé l'uomo e tutto il creato",2000,"Suore","ESERCIZI ESPIRITUALI SUORE\\Il_Dio_Fedele_2000","http://NA","Gn","8,1-22","Il Dio fedele"
54,"Gen8_1-22__9_1__9_5-7_NoeIlDioFedeleRiconciliaA_SeUomoE_TuttoIlCreato.docx","Noè - Il Dio fedele riconcilia a Sé l'uomo e tutto il creato",2000,"Suore","ESERCIZI ESPIRITUALI SUORE\\Il_Dio_Fedele_2002","http://NA","Gn","9,5-7","Il Dio fedele"
55,"Gion3_1-10_OltreLaViolenza.docx","Oltre la violenza",1999,"Tutti","lectio 99 -2000","http://NA","Gio","3,1-10","N/A"
56,"Gion4_1-11_NonDovreiAverePieta.docx","Non dovrei avere pietà",1999,"Tutti","lectio 99 -2000","http://NA","Gio","4,1-11","N/A"
57,"Gs24_1-5__24_13-24_GiosueScegliereOggiE_SempreDiSeguireIlDioFedele.docx","Giosuè - Sceglier oggi e sempre di seguire il Dio fedele",2000,"Suore","ESERCIZI ESPIRITUALI SUORE\\Il_Dio_Fedele_2007","http://NA","Gs","24,13-24","Il Dio fedele"
58,"Gs24_1-5__24_13-24_GiosueScegliereOggiE_SempreDiSeguireIlDioFedele.docx","Giosuè - Sceglier oggi e sempre di seguire il Dio fedele",2000,"Suore","ESERCIZI ESPIRITUALI SUORE\\Il_Dio_Fedele_2006","http://NA","Gs","24,1-5","Il Dio fedele"
59,"Gv1_35-39_RimaseroConGesu.docx","Rimasero con Gesù","N/A","Tutti","Dimorare","http://NA","Gv","1,35-39","Dimorare"
60,"Gv1_35-51_GesuAbitaNellaSuaParola.docx","Gesù abita nella sua parola",1997,"Tutti","Dimorare","http://NA","Gv","1,35-51","Dimorare"
61,"Gv11_17-44_PreghieraDiRingraziamento.docx","Preghiera di ringraziamento",2002,"Suore","ESERCIZI ESPIRITUALI SUORE\\Pregare_per_vivere_2002","http://NA","Gv","11,17-44","Pregare per vivere"
62,"Gv13_1-17_DallaServituAlServizio.docx","Dalla servitù al servizio",1999,"Tutti","lectio 99 -2000","http://NA","Gv","13,1-17","N/A"
63,"Gv14_16-17__16_13-15_SpiritoVeritaDiDioDellUomo.docx","Lo Spirito di Verità: Verità di Dio - Verità dell'Uomo",1994,"Suore","ESERCIZI ESPIRITUALI SUORE\\Esercizi_Lo_Spirito _anto_nella_nostra_vita","http://NA","Gv","14,16-17","Lo Spirito Santo nella nostra vita"
64,"Gv14_16-17__16_13-15_SpiritoVeritaDiDioDellUomo.docx","Lo Spirito di Verità: Verità di Dio - Verità dell'Uomo",1994,"Suore","ESERCIZI ESPIRITUALI SUORE\\Esercizi_Lo_Spirito _anto_nella_nostra_vita","http://NA","Gv","16,13-15","Lo Spirito Santo nella nostra vita"
65,"Gv14_22-26_LaGioiaDiSapersiAbitatiDaDio_PrenderemoDimoraPressoDiLui.docx","La gioia di sapersi abitati da Dio - Prenderemo dimora presso di Lui",1996,"Tutti","Lectio\\lECTIO VARIE","http://NA","Gv","14,22-26","N/A"
66,"Gv15_11__16_21-24_Gioia.docx","Gioia",2003,"Laici","Frutto_dello _SPirito_laici","http://NA","Gv","15,11","Frutti dello Spirito Santo"
67,"Gv15_11__16_21-24_Gioia.docx","Gioia",2003,"Laici","Frutto_dello _SPirito_laici","http://NA","Gv","16,21-24","Frutti dello Spirito Santo"
68,"Gv15_1-8_RimanereConGesuTralcioNellaVite.docx","Rimanere con Gesù, come tralcio nella vite","N/A","Tutti","Dimorare","http://NA","Gv","15,1-8","Dimorare"
69,"Gv19_31-37_IconaDelCuoreTrafitto.docx","L'icona del cuore trafitto",1997,"Suore","ESERCIZI ESPIRITUALI SUORE\\Ritorniamo_al_cuore","http://NA","Gv","19,31-37","Ritorniamo al cuore"
70,"Gv20_11-18_PerchePiangiChiCerchi.docx","Perché piangi, chi cerchi?",2008,"Tutti","Lectio 2007-2008 Laici  Gesù Il grande provocartore","http://NA","Gv","20,11-18","Gesù il grande provocatore"
71,"Gv3_1-10_RinascereDalloSpirito.docx","Rinascere dallo Spirito",1994,"Suore","ESERCIZI ESPIRITUALI SUORE\\Esercizi_Lo_Spirito _anto_nella_nostra_vita","http://NA","Gv","3,1-10","Lo Spirito Santo nella nostra vita"
72,"Gv6_41-67_VoleteAndarveneAncheVoi.docx","Volete andarvene anche voi?",2007,"Tutti","Lectio 2007-2008 Laici  Gesù Il grande provocartore","http://NA","Gv","6,41-67","Gesù il grande provocatore"
73,"Gv6_51b-59_DimorareEucaristico.docx","Il dimorare Eucaristico","N/A","Tutti","Dimorare","http://NA","Gv","6,51b-59","Dimorare"
74,"Gv6_67-71_TuHaiParoleDiVitaEterna.docx","Tu hai parole di vita eterna",2007,"Tutti","Lectio 2007-2008 Laici  Gesù Il grande provocartore","http://NA","Gv","6,67-71","Gesù il grande provocatore"
75,"Gv7_37-50_GesuE_LoSpiritoCheDaVita.docx","Gesù e lo Spirito che dà vita",1997,"Suore","ESERCIZI ESPIRITUALI SUORE\\LO_SPIRITO_SANTO","http://NA","Gv","7,37-50","Lo Spirito Santo"
76,"IlDioFedele_Conclusione.docx","Conclusione",2000,"Suore","ESERCIZI ESPIRITUALI SUORE\\Il_Dio_Fedele_2008","http://NA","N/A","N/A","Il Dio fedele"
77,"IlDioFedele_Introduzione.docx","Introduzione",2000,"Suore","ESERCIZI ESPIRITUALI SUORE\\Il_Dio_Fedele_2003","http://NA","N/A","N/A","Il Dio fedele"
78,"Lc1_26-38_Annunciazione.docx","Annunciazione della Madre di Dio - Blagovescenie","N/A","Tutti","Maria","http://NA","Lc","1,26-38","Maria"
79,"Lc1_39-45_MariaLaBenedetta.docx","Maria: la benedetta",2004,"Suore","ESERCIZI ESPIRITUALI SUORE\\BENEDIZIONE_2004","http://NA","Lc","1,39-45","Benedizione"
80,"Lc1_39-56_Magnificat.docx","Il Magnificat","N/A","Tutti","Maria","http://NA","Lc","1,38-56","Maria"
