119,"Mt5_3_BeatiPoveriSpirito.docx","Beati i poveri in spirito","N/A","Tutti","Beatitudini","http://NA","Mt","5,3","Beatitudini"
120,"Mt5_4_BeatiAfflittiSarannoConsolati.docx","Beati gli afflitti perché saranno consolati","N/A","Tutti","Beatitudini","http://NA","Mt","5,4","Beatitudini"
121,"Mt5_4_BeatiGliAfflittiPercheSarannoConsolati.docx","Beati gli afflitti perché saranno consolati",2001,"Suore","ESERCIZI ESPIRITUALI SUORE\\beatitudini_2001","http://NA","Mt","5,4","Beatitudini"
122,"Mt5_5_BeatiMitiErediterannoTerra.docx","Beati i miti perché erediteranno la terra","N/A","Tutti","Beatitudini","http://NA","Mt","5,5","Beatitudini"
123,"Mt5_5_BeatiMitiPercheErediterannoLaTerra.docx","Beati i miti perché erediteranno la terra",2001,"Suore","ESERCIZI ESPIRITUALI SUORE\\beatitudini_2001","http://NA","Mt","5,5","Beatitudini"
124,"Mt5_6_BeatiQuelliCheHannoFameSeteDellaGiustiziaPercheSarannoSaziati.docx","Beati quelli che hanno fame e sete della giustizia perché saranno saziati",2001,"Suore","ESERCIZI ESPIRITUALI SUORE\\beatitudini_2001","http://NA","Mt","5,6","Beatitudini"
125,"Mt5_7_BeatiMisericordiosiPercheTroverannoMisericordia.docx","Beati i misericordiosi perché troveranno misericordia",2001,"Suore","ESERCIZI ESPIRITUALI SUORE\\beatitudini_2001","http://NA","Mt","5,7","Beatitudini"
126,"Mt6_5-8_PreghieraComeFattoD_Interiorita.docx","Preghiera come fatto d'interiorità",2002,"Suore","ESERCIZI ESPIRITUALI SUORE\\Pregare_per_vivere_2002","http://NA","Mt","6,5-8","Pregare per vivere"
127,"Nm14_15b-17_AdOgniCostoLaBenedizione.docx","Ad ogni costo la benedizione",2004,"Suore","ESERCIZI ESPIRITUALI SUORE\\BENEDIZIONE_2004","http://NA","Nm","14,15b-17","Benedizione"
128,"Os2_16-22_ParleroAlCuore.docx","Parlerò al cuore",1997,"Suore","ESERCIZI ESPIRITUALI SUORE\\Ritorniamo_al_cuore","http://NA","Os","2,16-22","Ritorniamo al cuore"
129,"PregarePerVivere_Conclusione.docx","Conclusione",2002,"Suore","ESERCIZI ESPIRITUALI SUORE\\Pregare_per_vivere_2002","http://NA","N/A","N/A","Pregare per vivere"
130,"PregarePerVivere_Introduzione.docx","Introduzione",2002,"Suore","ESERCIZI ESPIRITUALI SUORE\\Pregare_per_vivere_2002","http://NA","N/A","N/A","Pregare per vivere"
131,"RitorniamoAlCuore_Conclusione.docx","Conclusione",1997,"Suore","ESERCIZI ESPIRITUALI SUORE\\Ritorniamo_al_cuore","http://NA","N/A","N/A","Ritorniamo al cuore"
132,"RitorniamoAlCuore_Introduzione.docx","Introduzione",1997,"Suore","ESERCIZI ESPIRITUALI SUORE\\Ritorniamo_al_cuore","http://NA","N/A","N/A","Ritorniamo al cuore"
133,"Rm8_5-9__8_12-14_UnaVitaGuidataDalloSpirito.docx","Una vita guidata dallo Spirito",1994,"Suore","ESERCIZI ESPIRITUALI SUORE\\Esercizi_Lo_Spirito _anto_nella_nostra_vita","http://NA","Rm","8,12-14","Lo Spirito Santo nella nostra vita"
134,"Rm8_5-9__8_12-14_UnaVitaGuidataDalloSpirito.docx","Una vita guidata dallo Spirito",1994,"Suore","ESERCIZI ESPIRITUALI SUORE\\Esercizi_Lo_Spirito _anto_nella_nostra_vita","http://NA","Rm","8,5-9","Lo Spirito Santo nella nostra vita"
135,"Sal42__43_PreghieraDisagioEsistenziale.docx","Preghiera e disagio esistenziale",2001,"Tutti","Lectio SALMI","http://NA","Sal","42-43","Salmi"
136,"SpiritoSantoNellaNostraVita_Conclusioni.docx","Conclusioni",1994,"Suore","ESERCIZI ESPIRITUALI SUORE\\Esercizi_Lo_Spirito _anto_nella_nostra_vita","http://NA","N/A","N/A","Lo Spirito Santo nella nostra vita"
137,"SpiritoSantoNellaNostraVita_Introduzione.docx","Introduzione",1994,"Suore","ESERCIZI ESPIRITUALI SUORE\\Esercizi_Lo_Spirito _anto_nella_nostra_vita","http://NA","N/A","N/A","Lo Spirito Santo nella nostra vita"
138,"Zac1_7-17_SignoreChiama.docx","Il Signore chiama","N/A","Tutti","altre_lectio","http://NA","Zc","1,7-17","N/A"
139,"Zac2_1-17_SignoreGuidaStoriaVuoleSalvezza.docx","Il Signore guida la storia e vuole la salvezza","N/A","Tutti","altre_lectio","http://NA","Zc","2,1-17","N/A"
